date,equity
2022-03-16,1.0
2022-03-16,1.0
2022-03-17,1.0
2022-03-18,1.0
2022-03-22,1.0
2022-03-23,1.0
2022-03-24,1.0
2022-03-25,1.0
2022-03-29,1.0
2022-03-30,1.0
2022-03-31,1.0
2022-04-01,1.0
2022-04-05,1.0
2022-04-06,1.0
2022-04-07,1.0
2022-04-08,1.0
2022-04-12,0.9939182842784217
2022-04-13,0.9939182842784217
2022-04-14,0.9939182842784217
2022-04-19,0.9939182842784217
2022-04-20,0.9939182842784217
2022-04-21,0.9939182842784217
2022-04-22,0.89821686181369
2022-05-24,0.89821686181369
2022-05-25,0.89821686181369
2022-05-26,0.89821686181369
2022-05-27,0.89821686181369
2022-06-01,0.89821686181369
2022-06-02,0.89821686181369
2022-06-03,0.89821686181369
2022-06-14,0.8386347839223997
2022-07-22,0.8386347839223997
2022-07-26,0.8386347839223997
2022-07-27,0.8386347839223997
2022-07-28,0.8386347839223997
2022-07-29,0.8386347839223997
2022-08-02,0.8386347839223997
2022-08-03,0.8386347839223997
2022-08-04,0.8386347839223997
2022-08-05,0.8386347839223997
2022-08-09,0.8386347839223997
2022-08-10,0.8386347839223997
2022-08-11,0.8386347839223997
2022-08-12,0.8386347839223997
2022-08-16,0.8386347839223997
2022-08-17,0.8386347839223997
2022-08-18,0.8386347839223997
2022-08-19,0.8386347839223997
2022-08-23,0.8386347839223997
2022-08-24,0.8386347839223997
2022-08-25,0.8386347839223997
2022-08-26,0.8386347839223997
2022-08-30,0.8386347839223997
2022-08-31,0.8386347839223997
2022-09-01,0.8386347839223997
2022-09-02,0.8386347839223997
2022-09-07,0.8360177620805559
2022-10-19,0.8360177620805559
2022-10-20,0.8360177620805559
2022-10-21,0.8360177620805559
2022-10-25,0.8360177620805559
2022-10-26,0.8360177620805559
2022-10-27,0.8360177620805559
2022-10-28,0.8360177620805559
2022-11-01,0.8360177620805559
2022-11-02,0.8360177620805559
2022-11-03,0.7971470308318752
2023-01-19,0.7971470308318752
2023-01-20,0.7971470308318752
2023-01-31,0.7971470308318752
2023-02-01,0.7971470308318752
2023-02-02,0.7971470308318752
2023-02-03,0.7971470308318752
2023-02-07,0.7971470308318752
2023-02-08,0.7971470308318752
2023-02-09,0.7971470308318752
2023-02-10,0.7971470308318752
2023-02-14,0.7971470308318752
2023-02-15,0.7971470308318752
2023-02-16,0.7971470308318752
2023-02-17,0.7971470308318752
2023-02-22,0.7971470308318752
2023-02-23,0.7971470308318752
2023-02-24,0.7971470308318752
2023-03-07,0.7971470308318752
2023-03-08,0.7971470308318752
2023-03-09,0.7971470308318752
2023-03-10,0.7971470308318752
2023-03-14,0.7971470308318752
2023-03-15,0.7971470308318752
2023-03-16,0.7971470308318752
2023-03-17,0.7971470308318752
2023-03-21,0.7971470308318752
2023-03-22,0.7971470308318752
2023-03-23,0.7971470308318752
2023-03-24,0.7971470308318752
2023-03-28,0.7971470308318752
2023-03-29,0.7971470308318752
2023-03-30,0.7971470308318752
2023-03-31,0.7971470308318752
2023-04-04,0.7971470308318752
2023-04-05,0.7971470308318752
2023-04-06,0.7971470308318752
2023-04-11,0.7971470308318752
2023-04-12,0.7971470308318752
2023-04-13,0.7971470308318752
2023-04-14,0.7971470308318752
2023-04-18,0.7971470308318752
2023-04-19,0.7971470308318752
2023-04-20,0.7971470308318752
2023-04-21,0.7971470308318752
2023-04-25,0.7971470308318752
2023-04-26,0.7971470308318752
2023-04-27,0.7971470308318752
2023-04-28,0.7971470308318752
2023-05-02,0.7971470308318752
2023-05-03,0.7971470308318752
2023-05-04,0.7971470308318752
2023-05-05,0.7971470308318752
2023-05-09,0.7971470308318752
2023-05-10,0.9623557458777563
2023-05-11,0.9623557458777563
2023-05-12,0.9623557458777563
2023-05-16,0.9623557458777563
2023-05-17,0.9623557458777563
2023-05-18,0.9623557458777563
2023-05-19,0.9623557458777563
2023-05-23,0.9623557458777563
2023-05-24,0.9623557458777563
2023-05-25,0.9623557458777563
2023-05-26,1.0761670558772092
